Name;Value;Value_de-De;Value_es-ES;Value_ru;Value_fr-FR;Value-uk
Getting started;Getting started;Loslegen ;Empezar ;Начало ;Commencer ;Початок 
Decoding Replays;Decoding Replays;Wiedergabe entschlüsseln ;Descodificación de repeticiones ;Декодирование повторов ;Décodage des relectures ;Декодування переглядів 
Decoding Replays detail;"To utilize the app's features, you need to decode StarCraft 2 replays, extracting raw data from SC2Replay files. Initiate decoding by selecting the 'New Replays' button on the top row or the 'Decode' button on the 'Home' screen.";"Um die Funktionen der App zu nutzen, müssen Sie StarCraft 2-Wiederholungen entschlüsseln und Rohdaten aus SC2Replay-Dateien extrahieren. Starten Sie die Entschlüsselung, indem Sie die Schaltfläche 'Neue Wiederholungen' in der obersten Reihe oder die Schaltfläche 'Entschlüsseln' auf dem 'Startbildschirm' auswählen.";"Para utilizar las funciones de la aplicación, debes descifrar las repeticiones de StarCraft 2, extrayendo datos sin procesar de los archivos SC2Replay. Inicia el descifrado seleccionando el botón 'Nuevas Repeticiones' en la fila superior o el botón 'Descifrar' en la pantalla de 'Inicio'.";"Для использования функций приложения вам необходимо декодировать повторы StarCraft 2, извлекая сырые данные из файлов SC2Replay. Инициируйте декодирование, выбрав кнопку 'Новые повторы' в верхнем ряду или кнопку 'Декодировать' на экране 'Главная'.";"Pour utiliser les fonctionnalités de l'application, vous devez décoder les rediffusions de StarCraft 2, en extrayant des données brutes des fichiers SC2Replay. Initiez le décodage en sélectionnant le bouton 'Nouvelles rediffusions' dans la rangée supérieure ou le bouton 'Décoder' sur l'écran d'accueil.";"Для використання можливостей додатка вам потрібно декодувати повтори StarCraft 2, витягаючи сиру інформацію з файлів SC2Replay. Запустіть декодування, вибравши кнопку 'Нові повтори' у верхньому ряду або кнопку 'Декодувати' на головному екрані."
Decoding Process;Decoding Process ;Entschlüsselungsprozess ;Proceso de descodificación ;Процесс декодирования ;Processus de décodage ;Процес декодування 
Decoding Process detail;The initial decoding may take some time, typically 30-60 minutes per 1,000 replays. The duration depends on the number of replays and your hardware capabilities.;Die anfängliche Entschlüsselung kann einige Zeit in Anspruch nehmen, normalerweise 30-60 Minuten pro 1.000 Wiederholungen. Die Dauer hängt von der Anzahl der Wiederholungen und Ihren Hardware-Fähigkeiten ab.;La decodificación inicial puede llevar algún tiempo, normalmente de 30 a 60 minutos por cada 1,000 repeticiones. La duración depende del número de repeticiones y de las capacidades de su hardware.;Первичная декодировка может занять некоторое время, обычно 30-60 минут на 1 000 повторов. Продолжительность зависит от количества повторов и технических возможностей вашего оборудования.;Le décodage initial peut prendre un certain temps, généralement de 30 à 60 minutes par 1 000 rediffusions. La durée dépend du nombre de rediffusions et des capacités de votre matériel.;Перший етап декодування може зайняти певний час, зазвичай 30-60 хвилин на 1 000 повторень. Тривалість залежить від кількості повторень і можливостей вашого обладнання.
Optimizing Decoding;Optimizing Decoding;Entschlüsselung optimieren;Optimizando la descodificación ;Оптимизация декодирования ;Optimisation du décodage ;Оптимізація декодування 
Optimizing Decoding detail;"You can enhance decoding speed by configuring the number of CPU cores in the 'Settings' screen. Note that during initial decoding, these cores will be heavily utilized.";"Sie können die Decodierungsgeschwindigkeit verbessern, indem Sie die Anzahl der CPU-Kerne auf dem Bildschirm 'Einstellungen' konfigurieren. Beachten Sie, dass während der anfänglichen Decodierung diese Kerne stark beansprucht werden. ";"Puedes mejorar la velocidad de descodificación configurando el número de núcleos de CPU en la pantalla de 'Configuración'. Ten en cuenta que durante la decodificación inicial, estos núcleos se utilizarán intensivamente. ";"Вы можете увеличить скорость декодирования, настроив количество ядер CPU на экране 'Настройки'. Обратите внимание, что во время начального декодирования эти ядра будут активно использоваться. ";"Vous pouvez améliorer la vitesse de décodage en configurant le nombre de cœurs CPU dans l'écran 'Paramètres'. Notez que pendant le décodage initial, ces cœurs seront fortement sollicités. ";"Ви можете підвищити швидкість декодування, налаштувавши кількість ядер ЦП на екрані 'Налаштування'. Зверніть увагу, що під час початкового декодування ці ядра будуть інтенсивно використовуватися. "
Decoding Speed;Decoding Speed;Entschlüsselungsgeschwindigkeit ;Velocidad de descodificación ;Скорость декодирования ;Vitesse de décodage ;Швидкість декодування 
Decoding Speed detail;Post the initial decoding, individual replays can be processed swiftly, ranging from 3-10 seconds based on the game duration.;Nach der anfänglichen Entschlüsselung können einzelne Wiederholungen schnell verarbeitet werden, je nach Spieldauer zwischen 3 und 10 Sekunden. ;Después de la decodificación inicial, las repeticiones individuales pueden procesarse rápidamente, variando entre 3 y 10 segundos según la duración del juego. ;После начального декодирования отдельные повторы могут быть обработаны быстро, в пределах 3-10 секунд в зависимости от продолжительности игры. ;Après le décodage initial, les rediffusions individuelles peuvent être traitées rapidement, de 3 à 10 secondes en fonction de la durée du jeu. ;Після початкового декодування окремі повторення можуть бути оброблені швидко, від 3 до 10 секунд в залежності від тривалості гри. 
Automatic Replay Detection;Automatic Replay Detection;Automatische Wiederholungserkennung ;Detección automática de repeticiones ;Автоматическое обнаружение повторов ;Détection automatique des rediffusions ;Автоматичне виявлення повторів 
Automatic Replay Detection detail;"The app automatically identifies and decodes new replays in folders specified in the 'Settings' screen if the application is open. ";"Die App erkennt und entschlüsselt automatisch neue Wiederholungen in den auf dem Bildschirm 'Einstellungen' angegebenen Ordnern, wenn die Anwendung geöffnet ist. ";"La aplicación identifica y descodifica automáticamente nuevas repeticiones en las carpetas especificadas en la pantalla de 'Configuración' si la aplicación está abierta. ";"Приложение автоматически определяет и декодирует новые повторы в папках, указанных на экране 'Настройки', если приложение открыто. ";"L'application identifie et décode automatiquement les nouvelles rediffusions dans les dossiers spécifiés dans l'écran 'Paramètres' si l'application est ouverte. ";"Додаток автоматично визначає та декодує нові повтори в папках, вказаних на екрані 'Налаштування', якщо додаток відкритий. "
Pause and Resume Functionality;Pause and Resume Functionality;Funktionalität zum Anhalten und Fortsetzen ;Funcionalidad de Pausa y Continuar ;Функция паузы и возобновления ;Fonctionnalité de Pause et Reprise ;Функціональність паузи та відновлення 
